card_number,first_name,last_name,dob,is_over_18,address_1,address_2,postcode,phone_number,email,creation_date,renewal_date,account_status
10000001,Lyra,Silvertongue,1990-09-23,NULL,Jordan Colledge,Oxford,OX1 4AU,07484 123456,lyra.silvertongue@gmail.com,2023-03-19,2026-03-19,Active
10000002,Alex,Davidson,1992-10-12,NULL,54 Merchants Quay,Leeds,LS9 8BA,07484 189345,alex.d@gmail.com,2023-03-24,2026-03-24,Active
10000003,Jane,Doe,1965-02-24,NULL,23 First Street,Wetherby,LS22 8DS,07112 345678,jd@gmail.com,2023-03-24,2026-03-24,Active
10000004,Bentley,Cat,2018-09-12,NULL,54 Merchants Quay,Leeds,LS9 8BA,07133 145988,bentsthecat@gmail.com,2023-03-24,2026-03-24,Active
10000005,Dave,Schrock,1987-07-15,NULL,12 Avenue Road,Chapel Allerton,LS7 7RT,07123 987643,daviddavid@yahoo.com,2018-01-03,2021-01-03,Inactive
10000006,Ian,Crowley,2015-04-16,NULL,55 North Street,Horsforth,LS18 3EA,07112 145633,NULL,2020-03-20,2023-03-21,Inactive
10000007,Isabel,Crowley,2008-08-08,NULL,55 North Street,Horsforth,LS18 3EA,07112 145633,NULL,2020-03-20,2023-03-21,Inactive
10000008,Eileen,Crowley,1980-03-12,NULL,55 North Street,Horsforth,LS18 3EA,07112 145633,eileen.l.c@gmail.com,2020-03-20,2023-03-21,Inactive
10000009,Will,Perry,1990-07-03,NULL,12 Bluebell Street,Oxford,OX6 9AB,07766 456822,williamperry@gmail.com,2022-10-10,2025-10-10,Active
10000010,John,Smith,1970-05-30,NULL,123 5th Avenue,Leeds,LS1 9SL,07484 994334,js@gmail.com,2023-01-05,2026-01-05,Active
